Lake,Sample,genus,size,,
One Mile,ZP22,daphnia,0.7,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,bosmina,0.2,,
One Mile,ZP22,daphnia,0.3,,
One Mile,ZP22,daphnia,0.6,,
One Mile,ZP22,cyclopoida,0.8,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,sididae,0.5,,
One Mile,ZP22,sididae,0.6,,
One Mile,ZP22,bosmina,0.3,,
One Mile,ZP22,bosmina,0.3,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,sididae,0.5,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,sididae,0.6,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,bosmina,0.3,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,bosmina,0.3,,
One Mile,ZP22,sididae,0.5,,
One Mile,ZP22,cyclopoida,0.7,,
One Mile,ZP22,cyclopoida,0.5,,
One Mile,ZP22,rotifer,0.3,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,sididae,0.6,,
One Mile,ZP22,cyclopoida,0.6,,
One Mile,ZP22,bosmina,0.3,,
One Mile,ZP22,sididae,0.6,,
One Mile,ZP22,cyclopoida,0.4,,
One Mile,ZP22,calanoid,2,,
Lost,ZP8,cyclopoida,0.7,,
Lost,ZP8,daphnia,0.7,,
Lost,ZP8,daphnia,0.5,,
Lost,ZP8,bosmina,0.2,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.4,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,daphnia,0.7,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,daphnia,0.7,,
Lost,ZP8,calanoid,1,,
Lost,ZP8,cyclopoida,0.7,,
Lost,ZP8,cyclopoida,1.1,,
Lost,ZP8,daphnia,0.6,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,calanoid,1,,
Lost,ZP8,daphnia,0.8,,
Lost,ZP8,daphnia,1.2,,
Lost,ZP8,daphnia,1,,
Lost,ZP8,bosmina,0.3,,
Lost,ZP8,calanoid,1.1,,
Lost,ZP8,bosmina,0.3,,
